"Edit","Incremental Find","Ctrl+J","Embedded Xtext Editor context","org.eclipse.ui.edit.findIncremental"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.previous.member"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows","org.eclipse.jdt.debug.ui.commands.AllInstances"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Display"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source","org.eclipse.jdt.ui.correction.extractMethodInplace.assist"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"JET Source Actions","Show Source Quick Menu","Alt+Shift+S","Editing JET Source","org.eclipse.codegen.ui.jet.source.quickmenu"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context","org.eclipse.ui.edit.text.moveLineUp"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows","org.eclipse.pde.ui.junitWorkbenchShortcut.run"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.references.in.workspace"
"Navigate","Open Declaration","F3","Editing Xtext Source","org.eclipse.xtext.ui.editor.hyperlinking.OpenDeclaration"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"SAP HANA Database Administration","System Monitor","Ctrl+Shift+M","Navigator","com.sap.ndb.studio.admin.command.systemmonitor"
"Navigator","Find System","Ctrl+Shift+N","Navigator","com.sap.ndb.studio.navigator.command.findsystem"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles","org.eclipse.jdt.ui.edit.text.java.format"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.navigate.java.open.structure"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.active.elements"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows","org.eclipse.jdt.ui.edit.text.java.surround.with.quickMenu"
"Server","Run","Ctrl+Alt+R","In Servers View","org.eclipse.wst.server.run"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows","org.eclipse.ui.views.showView"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.previousSibling"
"Modeler Keys","Refactor","Alt+Shift+V","Navigator","com.sap.ndb.studio.modeler.actions.Refactor"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.format"
"Window","Open Model Element","Ctrl+Shift+F3","In Windows","org.eclipse.xtext.ui.shared.OpenXtextElementCommand"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows","org.eclipse.jdt.ui.edit.text.java.move.element"
"Navigator","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context","org.eclipse.ui.edit.text.scroll.lineUp"
"Run/Debug","Execute","Ctrl+U","In Windows","org.eclipse.jdt.debug.ui.commands.Execute"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows","org.eclipse.ui.views.showView"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket"
"Modeler Keys","Activate","Ctrl+Shift+A","SAP HANA Modeler Editor","com.sap.ndb.studio.bi.uibindings.command.activate"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.search.declarations.in.workspace"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Navigator","Add System","Alt+N","In Windows","com.sap.ndb.studio.navigator.command.addsapsystem"
"Edit","Word Completion","Alt+/","Embedded Xtext Editor context","org.eclipse.ui.edit.text.hippieCompletion"
"Navigate","Open Declaration","F3","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.open.editor"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context","org.eclipse.ui.edit.text.select.lineEnd"
"File","Print","Ctrl+P","In Windows","org.eclipse.ui.file.print"
"Navigate","Previous Edit Location","Ctrl+Alt+Left","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Source","Organize Imports","Ctrl+Shift+O","In Windows","org.eclipse.jdt.ui.edit.text.java.organize.imports"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows","org.eclipse.ui.views.showView"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.assignToField.assist"
"Edit","Find and Replace","Ctrl+F","In Windows","org.eclipse.ui.edit.findReplace"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source","org.eclipse.xtext.ui.editor.outline.QuickOutline"
"Uncategorized","Open Data Previe&w...","Ctrl+Shift+P","CDS Data Preview","com.sap.ndb.studio.cds.datapreview.ui.command"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source","org.eclipse.jdt.ui.correction.assignToLocal.assist"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"SAP HANA Development","Activate All...","Ctrl+Shift+F3","SAP HANA Development Context","com.sap.ndb.studio.dwb.team.ui.commands.activateall"
"Navigate","Previous Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Run/Debug","Step Into","F5","Debugging","org.eclipse.debug.ui.commands.StepInto"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.remove.block.comment"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Modeler Keys","Auto Arrange","Ctrl+L","SAP HANA Modeler Editor","com.sap.ndb.studio.bi.uibindings.command.autolayout"
"SAP HANA Development","Open SAP HANA Development Object","Ctrl+Shift+A","SAP HANA Development Context","com.sap.ndb.studio.dwb.team.ui.commands.openObject"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging","org.eclipse.jdt.debug.ui.commands.StepIntoSelection"
"Refactoring","Rename Element","Alt+Shift+R","Editing Xtext Source","org.eclipse.xtext.ui.refactoring.RenameElement"
"Views","Show View","Alt+Shift+Q, D","In Windows","org.eclipse.ui.views.showView"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"SAP HANA Studio SQL Administration Console","Execute","Shift+F8","SAP HANA SQL Console","com.sap.ndb.studio.sql.action.ExecuteSQLStep"
"Run/Debug","Terminate","Ctrl+F2","Debugging","org.eclipse.debug.ui.commands.Terminate"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Server","Publish","Ctrl+Alt+P","In Servers View","org.eclipse.wst.server.publish"
"SAP HANA Studio SQL Administration Console","Find Table","Ctrl+Shift+T","SAP HANA","com.sap.ndb.studio.sql.command.findtable2"
"Server","Stop","Ctrl+Alt+S","In Servers View","org.eclipse.wst.server.stop"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows","org.eclipse.pde.ui.openPluginArtifact"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.indent"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Run/Debug","EOF","Ctrl+Z","In I/O Console","org.eclipse.debug.ui.commands.eof"
"Source","Quick Assist - Assign to variable in new try-with-resources block","Ctrl+2, T","Editing Java Source","org.eclipse.jdt.ui.correction.assignInTryWithResources.assist"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.nextSibling"
"Modeler Keys","Paste Node","Ctrl+V","Scenario","com.sap.ndb.studio.bi.uibindings.command.pasteNode"
"Window","Find Actions","Ctrl+3","In Windows","org.eclipse.ui.window.quickAccess"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Quick Search","Quick Search","Ctrl+Alt+Shift+L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.correction.renameInFile.assist"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows","org.eclipse.jdt.ui.edit.text.java.modify.method.parameters"
"Edit","Find Previous","Ctrl+Shift+K","Embedded Xtext Editor context","org.eclipse.ui.edit.findPrevious"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows","org.eclipse.jdt.ui.edit.text.java.open.external.javadoc"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Refactoring","Extract Local Variable","Alt+Shift+L","Editing Xtext Source","org.eclipse.xtext.xbase.ui.refactoring.ExtractLocalVariable"
"SAP HANA Development","Create System Project","Shift+N","Navigator","com.sap.ndb.studio.dwb.team.ui.commands.createSystemProject"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.remove.block.comment"
"Run/Debug","Step Over","F6","Debugging","org.eclipse.debug.ui.commands.StepOver"
"Text Editing","Text End","Ctrl+End","Embedded Xtext Editor context","org.eclipse.ui.edit.text.goto.textEnd"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor","org.eclipse.pde.ui.edit.text.format"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View","org.eclipse.debug.ui.commands.closeRendering"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows","org.eclipse.pde.ui.runtimeWorkbenchShortcut.run"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences"
"Modeler Keys","Copy","Ctrl+C","Navigator","com.sap.ndb.studio.modeler.actions.CtrlCCopyObject"
"SAP HANA Database Administration","Administration (SAP System Logon)","Ctrl+Shift+O","Navigator","com.sap.ndb.studio.admin.command.administrationsapsystem"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.next"
"Edit","Select All","Alt+D","In Windows","org.eclipse.ui.edit.selectAll"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.next"
"Source","Toggle Comment","Ctrl+7","Editing CDS DDL Source","com.sap.ndb.studio.cds.editor.ui.toggleComment"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Edit","Copy","Ctrl+C","Refactor context","com.sap.ndb.studio.dwb.repository.refactoring.ui.masscopycommand"
"Edit","Update","Ctrl+F5","Graphiti Diagram","org.eclipse.graphiti.ui.internal.action.UpdateAction"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows","org.eclipse.debug.ui.commands.SkipAllBreakpoints"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View","org.eclipse.wst.jsdt.ui.edit.text.java.surround.with.quickMenu"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context","org.eclipse.ui.edit.text.showInformation"
"Authorization Commands","Deploy","F8","Authorization Editor","com.sap.ndb.studio.authorization.action.ExecuteDeploy"
"Source","Add Text Block","Ctrl+Shift+'","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.textblock"
"Uncategorized","Go to Matching Bracket","Ctrl+Shift+P","in Generic Code Editor","org.eclipse.ui.genericeditor.gotoMatchingBracket"
"Navigate","Previous Tab","Ctrl+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Server","Debug","Ctrl+Alt+D","In Servers View","org.eclipse.wst.server.debug"
"Text Editing","Previous Word","Ctrl+Left","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Key Category","Complete Keyword","Tab","Keyword Completion in SQL Studio Editors","com.sap.ndb.studio.parser.rnd.completeWord"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows","org.eclipse.ui.views.showView"
"SAP HANA Studio SQL Administration Console","Close","Ctrl+F4","SAP HANA Catalog Editor","com.sap.ndb.studio.sql.editor.CloseSubWindow"
"Navigate","Open Type Hierarchy","F4","In Windows","org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"Navigate","Quick Outline","Ctrl+O","PDE editor","org.eclipse.pde.ui.quickOutline"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Search","References in Workspace","Ctrl+Shift+G","In Windows","org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace"
"Edit","Toggle Block Selection","Alt+Shift+A","Embedded Xtext Editor context","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Edit","Open Selection","F3","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.open.file.from.source"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor","org.eclipse.ui.edit.text.open.hyperlink"
"Views","Show View (Job Log)","Alt+Shift+Q, G","In Windows","org.eclipse.ui.views.showView"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows","org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Edit","Find Next","Ctrl+K","In Windows","org.eclipse.ui.edit.findNext"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.import"
"Modeler Keys","Rename","Alt+Shift+R","Navigator","com.sap.ndb.studio.modeler.actions.Rename"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows","org.eclipse.jdt.debug.ui.localJavaShortcut.debug"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source","org.eclipse.xtext.ui.ToggleCommentAction"
"Navigate","Open Declaration","F3","In Windows","org.eclipse.jdt.ui.edit.text.java.open.editor"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Embedded Xtext Editor context","org.eclipse.ui.edit.text.smartEnterInverse"
"Source","Toggle Comment","Ctrl+7","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.toggleMarkOccurrences"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.enclosing"
"Modeler Navigator","Find","Ctrl+F","Navigator","com.sap.ndb.studio.modeler.find"
"Edit","Remove","Shift+Delete","Graphiti Diagram","org.eclipse.graphiti.ui.internal.action.RemoveAction"
